,index,tweets,label
2946,2145,".. Mezcal tus nalguitas, las justificaciones de Samuel García, básicamente cualquier cosa que digan las feministas radicales trans excluyentes cuando hablan de la gente trans.

En fin.",NP
5983,822,@1494Tannia por que descubres que hay gente igual de loca que tu uno jajja,NA
2508,1707,Un chico m mando esto es bisexual url,NP
6817,1656,"Así que había gente quejándose de que #ChillingAdventuresOfSabrina no era para niños, que tenía cosas satánicas y escenas url Eso pasa por no informarse antes de ver las cosas. En todo caso: Alabado sea Satán, porque pucha que está perversamente buena la serie! url",NA
2820,2019,@kscius @DanielaGoCh Yo creo que.. le deberían de dar los papeles de mujeres trans a mujeres (Cis o trans) y papeles de hombres trans a hombres (Cis o trans),NP
4191,3390,"@Garciajosedo El drag es amor.

Y eso estás haciendo. Te estás drag-eando (nomás que de modo digital). Y todo boni con hacer tu drag.",NP
1230,429,"Ayyyy esos que ganaron el amuleto me emocionaron mucho #JarochoCulichi #AbandonadosTV 

Soy una marica sentimental 😐",NP
4589,3788,#Entérate Conapred pide al @INEMexico evitar discriminación hacia personas trans durante elecciones url,NP
4906,4105,"Apunten el 12 de abril, ese día estrena la serie #Special, sobre un hombre gay con parálisis cerebral que sufre un accidente y decide cambiar su vida. Aquí el tráiler, se vale llorar 👇🏻👇🏻 url",NP
927,126,mi papá me esta explicando las leyes de los homosexuales y lesbianas para explicarme como aprueban leyes los diputados.. jajaja que lindo,NP
4306,3505,"@NutritionXenia De paso.. si se puede, busquen alternativas a la espiro. Famosamente se ha documentado no ayuda con un buen de casos de transición. url

Pero es lo único que “saben” recetar url",NP
3964,3163,"De paso, van CUATRO años desde que sale un personaje trans en una peli mayor.

Y ni hablar que cuando nos incluyen es para hablar del drama que es ser trans y lo difícil y como solo la pasamos requete mal

url",NP
6986,47,@ChaloLeite ahora pinchi joto gracias,P
2232,1431,ES : ¿Se debe bautizar a los niños de parejas homosexuales? url,NP
6472,1311,"Iba a decir algo de Christina Ricci vestida de nativa americana, pero ya me pelee suficiente hoy en Twitter.",NA
2999,2198,"La tasa de desempleo trans en México es del 90%

No es muy esperanzador ir a entrevistas, la verdad. 

url url",NP
4375,3574,"En las candidaturas de las elecciones 2018 se cumplió con la paridad de género y se aplicaron medidas de nivelación que integran a personas transgénero. ¡Una democracia sin mujeres, no es democracia! url",NP
4598,3797,Los dioses del Photoshop haciendo que #AnnaFaris parezca la versión Drag de #AnnaFaris. Póster de #HombreAlAgua. url,NP
6213,1052,@aboutlunaa Qué rarita eres,NA
1071,270,Soy hetero pero amo a mi raza gay y su partyyy🤗🤗,NP
5192,31,Como un puto sueño me puede poner de tan mal humor.,NA
6960,21,@Gerard_Zarate Quien va a querer ser una loca amanerada?,P
5220,59,Me haces dudar un chingo si la loca soy yo.,NA
6778,1617,"@mickeyarce Y se entiende, pero las chicas lograron el Bi y eso debe reconocerse, admirarse y aplaudirse.",NA
4289,3488,Buscará transexual Alcaldía de #Saltillo url,NP
6654,1493,"Jorge Blass Sánchez, presidente del Comité de Propietarios del Parque Eólico Bi Niza #ALAIRE en #PonteAlDía",NA
6890,1729,Cerrada la circulación en ambos sentidos de Eje 3 Oriente a la altura de Mariquita Sánchez por #Manifestantes. Altn. Av. Tláhuac.,NA
3270,2469,"Y recuerden. Si tanto les molesta que la gente trans vaya a sus baños y vestidores, estoy recibiendo dinero para no ir al vestidor que me digan.

Por cada MXN$1,000 que me depositen a mi PayPal… no iré a su vestidor o baño que me digan, por un día.",NP
4332,3531,"@marcyag21 considerando este año hemos pasado por un asesinatos brutal transgénero cada 10 días, sería lindo que si

/ @drats89 @erickarim",NP
3348,2547,"Angélica me da mucha tristeza verte inmersa en acciones que no sólo son discriminatorias al pensar que solo existe una mirada dual del género, sino tu a una defensora de los Derechos humanos estar en esta postura encontra de las personas Trans. 

Querida te equivocas url",NP
3907,3106,"Soy Raúl
Soy mexicano
Soy defensor de Derechos Humanos 
Soy gay. 🏳️‍🌈#NoEstoyEnfermo 
Le pido al @senadomexicano @mx_diputados @martibatres @mario_delgado1 que dictaminen y aprueben la iniciativa para prohibir las pseudo-terapias de conversión. #NoMásECOSIG url",NP
845,44,"No me deja de sorprender como SIEMPRE que se inventan reglas idiotas para ""regular"" a la gente trans, cae alguien que no es trans por ellas.

Lo mismo pasa con el tema de los baños. Ponen la regla para gente trans, cae alguien que no es trans url",NP
925,124,"@8d6fb378f2f14e4 No porque soy un hombre maduro y soy soltero y no soy hay, ni joto u homosexual. Hay y habemos excepciones a la regla.",NP
3174,2373,Así se vive el espectáculo de Burlesque Pussy Queer desde la Noche de la Sororidad en el Parque de La Bombilla. #TiempoDeMujeres #DíaDeLaMujer url,NP
6321,1160,"pinche espn 8 ""the ocho"" ya quiten el puto béisbol quiero ver el #RomaJuve",NA
4509,3708,"@ElizaSonrisas @elvirarelv Y luego no te digo como son con las propuestas de pago

Literal un día me mostraron un tabulador: si es hombre X, si es mujer 80% de X y si es trans (por que no somos mujeres) 30% de X”",NP
3659,2858,Las mujeres trans son guapas porque sabe perfecto lo que le gusta a un hombre. Lo pensé hoy y me vi feo a mi mismo.,NP
5354,193,Un loco no es nada sin su loca🙆.,NA
3722,2921,#LoMásLeído  » Nace bebé de ambos padres transgénero url,NP
181,181,"Típico no le contestas un DM y dejan de seguirte, que mariquita ✊",P
1470,669,@_Jpip Eso es más gay aún,NP
6582,1421,"Hace muchooooo que no se me antojaba algo de #Transformers, pero el tráiler de su serie animada me tiene emocionado. Vean #TransformersWarForCybertron. 

 url",NA
776,776,"Ser homosexual implica que nunca hay agujero equivocado.

Punto para los gays.",P
6789,1628,"Es OFICIAL, la última cinta de #Transformers llegará el 21 de Julio a las salas de México ¿la esperas? url",NA
6392,1231,"I'm at @SpeeDeeMx (Estado de México, Naucalpan) url",NA
5719,558,De pena ajena como vienes url🤦‍♂️,NA
4025,3224,"De mis amigas trans he visto dedicación y esfuerzo por vivir en su mejor versión de ellas, cuerpo mente espíritu. Es lindo ver transiciones.",NP
1525,724,"@PerroBionico @AquilesBaeza @astroonette Turbo loca no, loca si",NP
4120,3319,"Acá contexto url

Chequenlo todo. La historia trans está más o menos en el minuto 7 :(",NP
6010,849,"Toy loca me cae, ayer me gusta mba alguien y hoy ya no",NA
841,40,"Esto, por el tema de ayer de #NoSoyHombreConPeluca donde varias mujeres trans hablan de como la representación en La Casa de las Flores es dañina a la imagen que se intenta dar de las mujeres trans de hoy.

Me incluyo, yo lo comenté en Instagram. Aunque por otro tema.",NP
1962,1161,Busco #casadosconhijos #casado #curiosos #bisex #Mayates #chacales #maduros #heteros para sólo #sexo MandenMD solo #placer #coger #diversion #discrecion #PuertoVallarta 💯 url,NP
5227,66,@TRI_GAY Gracias ☺️,NA
2382,1581,El guapote @jensdefries dijo que este capitulo es el mejor de Drag Race asi que vamos a verlo.,NP
6948,9,@OlegAraveug Así de homosexual despiertas??? Hahaha,P
3014,2213,"@sofikowo Kowo

.. es lo tuyo. 

En marcha lencha me dejaste genuinamente tocada de lo talentosa que eres.",NP
6137,976,@OyeSergioMejia @Oye897 Marcame 41964803 #OYE897SoyTanCoderQue si gano mañana me ire vestida de taco,NA
1730,929,X q todos molestan de esa forma a Jorge la jotita ass,NP
5589,428,"-Haces una publicación felicitando a los chavos de la generación BI 2016.
-Le dan like todos menos los de BI 2016.",NA
5004,4203,"@ixcolai No es como que los vatos digan: “ah, es trans.. a esa no la acoso”.

De hecho en mis intentos de violacion uno en particular el pendejo (un taxista) lo dejaron pasar sin repercusiones por que “es que a los travestis les gusta el sexo”.",NP
4537,3736,¡Escándalo en Argentina! Travesti publica fotos de su noche con un futbolista de Boca Juniors▶ url url,NP
393,393,Me dan mucha risa los memes de la jota de caso cerrado 😂😂😂,P
4555,3754,"""@Marioorod: Hola vladi oye sabes cuando es la marcha gay? @delatorremorin"" / 19 de junio. Sds.",NP
5435,274,Gordas 😷 en Mi Casa Que Es La Casa De Todos url,NA
991,190,"Ya me me les voy de #Mexicalli amigo y me iré a #Tijuana por si me ven me saluden y si me ven la 🍆 pueden tocar con discreción Mande inbox los que quieres colaborar manden mensajito por aquí 
#Men #Boy #Gay #Chacalito
Hoy toco hacer pecho con brazo y ustedes 
Cuántos RT para mí url",NP
1456,655,"@AprendizDelCaos No, ya que ser transgénero no es ninguna patología ni trastorno mental, mientras las personas neurodivergentes si padecen trastornos mentales. Eso pienso, no sé.",NP
2676,1875,"Sigo sin entender como es que las mujeres trans “borramos las mujeres”

¿Cual es la logística ahí? 
Es una situación tipo pantera rosa con borradores tamaño humano? O como.",NP
4007,3206,"La gente te dice que ser trans es ser una abominación y se va a burlar de ti hasta no dar más, para luego pedirte pack por DM y que si “quieres platicar”. url",NP
1782,981,"Y despues d un buen tiempo vuelven a escribir hay unos q hasta 3 meses, año y medio escriben y quieren interactuar la verdad con mucho respeto ya no los tomaremos en cuenta
Parejas, chicas bi y que se esten iniciando  bienvenidas para hacer amistad despues interactuar url",NP
2662,1861,"@L3132L o una mujer trans que embarace a una mujer cisgénero? supongo que si se identifican como heterosexuales, la idea es respetarles",NP
3838,3037,"Radicales trans odiantes: “Las mujeres trans replican estereotipos de género, las mujeres son más que una apariencia”

** Mujer tiene cierta apariencia en anuncio **

Radicales trans odiantes: “¡así no son las mujeres! Si tiene esa apariencia DE SEGURO tiene pene, es patriarcal” url",NP
2621,1820,@chuckpee @fibenadito Desde que salí del clóset he enterrado a 6 amigas. Una mujer trans asesinada cada dos días en México. Pero lo que importa es que la gente transfóbica no se sienta ofendida.,NP
3537,2736,"¡Reina del Drag en Brasil! @pabllovittar  nos habla de su deseo de colaborar con @Anahi y @thalia, en exclusiva para @UnicableOficial #UNews #FelizLunes #TodosSomosUnicable url 🌈📺 url",NP
3154,2353,"@Milgoeshunting Yo digo que se hagan gender reveals cuando la gente trans salga del closet.

Misma fanfarria, una fiestota familiar celebrando la salida. Regalo de la primera bandera, polvo de colores del género seleccionado (incl. géneros no binarios)",NP
582,582,Caminar por zona rosa y no ver gays es genial 👌🏼🌠,P
372,372,"Felicidades a todos los jotos que si bien no son madres, han cargado con los chavitos de otro 😘",P
3082,2281,"Esto es más común de lo que creen. 

También me han contado historias varias de ambulancias que no suben a mujeres trans, y ahí te dejan. url",NP
1414,613,@RegiolandiaMTY buenos días hoy bien temprano me fui a la casa de un mayate  la neta me cojio muy rico no la tenia muy grande si hace muy rico su jale dale ♥️♥️♥️ dale 🔃🔃🔃 🔃   🙏 url,NP
1309,508,Busco cabrón #bisexual #heterocurioso #casadogay #chacal #curioso #flexible #MachosHeteros para #coger #sexo MandenMD #puertovallarta #discrecion solo es #placer #puertovallartagay 🤤🤤🔥💯💯 url,NP
669,669,@Foro_TV Y más si los priistas devuelven todo lo que se robaron empezando por la rata mayor epn y el joto de Mancera,P
615,615,"Si los transexuales no tuvieran su rostro tan tosco, serían mujeres perfectas, #SuperCuerpos",P
4021,3220,Me cuesta un buen lidiar con las muertes Trans. Desde que salí del clóset hace 5 años he despedido a más de 8 amigas :(,NP
3901,3100,"Van TANTAS veces que me pasa una persona hater en redes así dedicada.. años después resulta que quiere transicionar o está transicionando.

(O la otra es que.. sobretodo con las feministas odiantes, la persona hater resulta quería salir con una persona trans y no le pelaron)",NP
2132,1331,Tú dices: “Me enteré de que una amiga de la prepa resultó ser lesbiana” y él entiende “Trío”.,NP
4745,3944,"Está escrito por el, cartas públicas que él le enviaba a su mamá. De que hablas!! Es un asesino confeso. Mandó fusilar a mil personas en un día y el daba la orden y el decreto. Homosexuales y toda persona disidente a Castro. Y por favor, no mezcles lo público con lo privado. url",NP
706,706,"ES : Kirk Cameron: “Dios odia a los gays, van a ir al infierno”  - Yo no escogí ser heterosexual pero todos esos… url",P
4459,3658,Quiero ser parte del poderoso lobby trans y poder entrar a los baños sin que la armen de pedo.,NP
1458,657,Vanessa Hudgens haciendo un lipsynch vs un pork chop en #rupaulsdragraceallstars me dio vida y salud. Estoy seguro que viviré mínimo 5 años más después de este triunfo en gay culture. url,NP
5582,421,@hyh987654321's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,NA
143,143,Pepe es joto✊,P
317,317,@RICARDOPELAEZ9 marica,P
2888,2087,Conferencia “Rompiendo barreras en la atención a la salud de personas trans” a cargo de la Dra. Tere Guerrero en la @FacMedicinaUNAM. url,NP
6356,1195,Estás bien rarita wey.😷,NA
3353,2552,#NoTePierdas De niño monje a supermodelo transgénero url url,NP
1033,232,@Ambar_travesti Rica verga y que huevotes delicia de macho,NP
6045,884,@oscarambolas Gente loca,NA
3686,2885,"Lo bueno es que en México no hay absolutamente ningún otro problema importante en el mundo de los feminismos y lo primero en la agenda de las radicales es buscar quitarle derechos a la gente trans.

Este 8M va a ser divertido. Seguro van a llevar a Carlos Leal a que de discurso. url",NP
1444,643,@Milenio Jajajajajaja jajajajajaja POS como no!!! Con el dineral que le da por fingir ser la novia postiza!! Yaa! Enriquito di que eres gay. No pasa nada. Medio México lo sabe y a medio México ya te echaste! Jajajajajaja,NP
5079,4278,"¿Se imaginan si trataran los procesos hormonales de la gente trans como se trató el proceso hormonal de Messi? 

* mundo_sin_url * 

Estamos hablando de un ser humano que literal modificó su “realidad biológica” con hormonas. url",NP
6261,1100,"Hoy la Ciudad huele a Burl

#YaTeBiCampeon #DaleLeon ♡",NA
3109,2308,"Cada que voy a un espacio activista pienso en, y recuerdo a Agnes Torres. 

Mi guía del cora trans, y por quien hago lo que hago en esto de lo LGBT+",NP
5659,498,"¿Y éste hijo de puta @JLHB33 para cuando @Chivas ? Ya también que se vaya mucho a la chingada, yo estoy con ustedes, no con ellos, ellos no son @Chivas   😎🙌🏽🇫🇷 #FueraHuigera 😠",NA
3528,2727,"Por supollo. Acá entrevisté al espectacular @RICARDODELREAL8, atleta trans y medallista olímpico mexicano 👉🏻 url url",NP
4049,3248,"@Litzia Ayñ. ♥️🌈

Pues.. hay gente que literal se identifica como non-binary. Así, ni hombre ni mujer. Ninguno. O ambos. O algo nuevo.

Date una googleada, es gente reeeee bonita. Checa url",NP
1035,234,MWES — Sexy modelo se declara homosexual y lo publica en redes sociales url,NP
2210,1409,"@huevo_darwin Quien insultó? Ejemplo: Mi mamá me ama, pero se fue a otro país a vivir con mis hermanas, porque ellas la necesitan más ahora mismo. Es en ese plan. Amo a toda la banda diversa, pero mis lesbianas sufren el ser homo y el ser mujer.",NP
484,484,Pinche joto!!!!,P
1059,258,MWES -  Una mujer vende a sus bebé por 10.000 euros a una pareja homosexual url,NP
1280,479,@yaparateoficial ya parateeeeeeeeee por la Gloria por la Gloria amor amor ahí viene Navidad será q hoy la gran frase de @inakialvarez  de los jotos valen menos es superada @facufacundo @soyalexitagarza ? Jaja saludos desde Mexicali,NP
1335,534,Mañana Morena subirá un exhorto en el Senado para pedir justicia por los asesinatos de mujeres trans. Se hará lo propio en ALDF y Dips url,NP
5001,4200,"Mire, le creadore de la bandera pansexual cuenta la historia de cómo llegó a hacerla. 

El diseño se lanzó en tumblr cuando elle tenía 20 años :O

🥰💫💕⚡️ url",NP
1845,1044,¿Qué tipo de lesbiana sería?,NP
2890,2089,"En estados unidos hay un alcalde transexual que se convirtió en alcalde porque su oponente murió 3 días antes de la elección y la neta no está bien.

¿Porqué tendría que morir para obtenerlo?
¿Qué verga importa que eres por fuera? Si eres buen gobernante.",NP
4144,3343,"Por que luego les ENCANTA a los medios tradicionales hacer estos didácticos paneles ""balanceados"" donde invitan a una persona radical anti-derechos (y le validan su mensaje)

... Para discutir temas súper banales como ""¿es okay tener amigos travestis?""",NP
4431,3630,"@juanburgos @CervezaTecate @ElDeCreativo ""orientación sexual"" no se representa con una mujer Trans y además peluquera.",NP
2634,1833,"Pues, llevaba rato persiguiendo el por qué la wikipedia en español es tan TERF (los artículos de feminismo les cambian “género” por “sexo” y en los comentarios se quejan del borrado de mujeres).

.. y topé que nada más la FUNDADORA de Wikimujeres es trans excluyente :/ url",NP
2281,1480,"🤩🤩ORGYFIESTAS😍😍
MIÉRCOLES 29 DE JUNIO 2022
TARDEADA TRANS TVS Y ADMIRADORES SWINGERS SINGLES  🍒🍒♂️♀️💛🔥🔥🔥
CUARTO OSCURO
PRIVADOS VIP
CUARTO DE TRASFORMACIÓN
RENTA DE VESTUARIO ZAPATILLAS PELUCAS MAQUILLAJE
MUSICA BAILE🎈🎈🎈
BARRA LIBRE TODA LA TARDE url",NP
1454,653,"""¿Por qué callar si nacimos gritando?""
.
.
.
.
#tuyyosomoscocut #cocutlgbti #cocut #lgbt #lgbtlove #love #amoresamor #loveislove #lgbtquotes #quotes #citas #lesbian #gay #bisexual #trans #queer #instalgbt #instagay… url",NP
1998,1197,"El de Uber trae a HaAsh, me siento como lesbiana a dolorida 😭😂",NP
6708,1547,¡Qué puto calor! Y es invierno en Palenque.,NA
5090,4289,"@sof_j Un día una mujer trans con como 6 meses de su cirugía genital me dijo (muy alegre de hecho) ""ya puedo ir a las marchas feministas"".

.. eso.",NP
1260,459,Esto es lo más joto que leerás hoy!! url,NP
1311,510,"Buenos dias #Puebla 
Ya me amanecio!!
Me hace falta una rica Verga para cabalgar. #Shemale #LadyBoy #Lgbttti #Tvs #Trans #Tranny #Besitos",NP
5728,567,@MagdaGraciasFCH Yo no perderé mi tiempo en eso. Es más para esa hora estaré viendo mi serie favorita en Netflix. Ni loca veré ni oír las estupideces que dice el kakas,NA
4325,3524,"Pues si eres gay decir en uno que otro que si y yap.
Preguntan es por trollear. Pero a mi me preguntan a casa rato si soy trans y ""si por?"" url",NP
2084,1283,"RT 🔃💕 #puebla #Available #méxico  #transexual #tranny #xxx #escort #latina #Available #escorts #sexo #porno #onlyfans #trans #SexoTrans #pornoTrans #transxxx
Para ver todo mi contenido xxx suscríbete  a mi cuenta onlyfans 😏👇🏻 url url",NP
4400,3599,(Por que luego prepárense a ver la cara de los religiosos cuando caiga la noticia de la mujer trans que quiere abortar),NP
323,323,@bizbiriije @10APG @TigresOficial @gracieve @bizbiriije @10APG @TigresOficial  otro jotito rayado enamorado que quiere que le contesten jaja,P
5297,136,Golazooooo hijos de su puta madre!!!!!!!! Lo sabía lo sabía mi @PipaBenedetto no defrauda lo sabía te AMOOOOOOOOO @CF_America #VamosAmerica,NA
6552,1391,😂😂😂 Y No! Nos nos pone locas el #CafeCubano Nos pone divertidas!!😜Extrañamiento atroz!! Love You @ERIKAMAZAPAN 😘💕🙏🏼 url,NA
5176,15,"Felicidades.
Brutal.
Espectacular trabajo.
Enhorabuena @BambuProdu #Ramoncampos #leonsiminiani @MiguelTrudu 
100% Recomendable 
Sueño con una ficción sobre este caso dirigida por @Jota_linares url",NA
5526,365,Estoy loca e irrevocablemente enamorada de un Gurl,NA
512,512,Esta el joto que siempre se me queda viendo 🤦🏻‍♂️,P
1577,776,Dior bendiga a los hombres heterosexuales que son fans de RuPaul’s drag race 🏁👠👏,NP
4630,3829,"Bienvenidxs y gracias por acompañarnos en esta presentación de ""Nuevo Cine Queer"" con el Mtro. Ricardo Benet en la escuela @cine_luisbunuel.

#MICGénero2018
#Xalapa #SéPartedelCambio url",NP
2423,1622,@CarlosAvitia @___BlackBird @XANITO pa mi que es gay,NP
6104,943,"""Jamás, jamás me he enamorado de mi mejor amigo. Siento que me volvería loca.""",NA
707,707,"Jotos, respétense tantito. No jodan. url",P
6583,1422,@Fer_Gay Ay weeeeeey,NA
1099,298,"#mcm buda #rube #poledancing #gym #gay #fitness #fit #love #smile #selfie #love #happy #train @ Mexico City, Mexico url",NP
3053,2252,@SoyLadyCorrales Es que el aeropuerto lidia con el Trans-porte. Y están escandalizados.,NP
4011,3210,"@eduar2RQ @ohilived Luego y tengo este tema mega atravesado por que me pidieron grabar para una serie y literal el guion pide que me MASCULINICE.

“Pues por que trans”.

Y admito, estoy chocada con eso.",NP
5462,301,@Faitelson_ESPN Callate el puto hocico cachetes de marrana flaca,NA
1778,977,"Le falto decir a @Mzavalagc. 
Voy a defender a Mexico de mi misma, porque odio a los homosexuales. 

Es mejor dar el ejemplo a las madres de aceptar a sus hijos tal y como son, inculcando valores reales.  
#DebateINE",NP
5481,320,@jhonfabio1303 De las buenas apuestas de HBO junto con The Sopranos y Queer as Folk,NA
5329,168,"@DarkDragn4 Ya están en la demencia total! Si ni en la franquicia de Ags. lograron mantener a los poquitos que abrían el changarro para barrer la calle, mucho menos van a ganar elección alguna. A que derecha tan loca la del sr. cara de papa!",NA
2198,1397,me gusta cómo en drag race españa le dicen “el grínder” y “el póper” jajaja,NP
922,121,"Excelente fin de semana
.
url
.
url
.
#TeamCharlyDiaz #arms #axilas #armpit #armpits #axila #gay #chest #pec #pecs #chestworkout #chestday #abs #hairy #furrychest #furry #muscle #muscleup #bearded #barba #masculine #onlyfans url",NP
6632,1471,"@Alexbashestv @detlnovelas1 @FelixAndresC @YoulGuion7 @NoveleraSoy @telenovelo @RaulIgnacioCam1 @Venusdenko_ @horadlanovela @Manuelopexx @SoyEl_RogerMx @nael_cruz @TeRoJohan @ANTISOCIAAL__ @NubiaArizaga @MALEFICIENT96 @blim Las asesinas psicópatas en las telenovelas la primera es Catalina Creel. Copiada de la película de Brian de Palma: vestida para matar, no es original la novela de Olmos y también es copia de otra película de Bette Davis: el aniversario",NA
3442,2641,"¿Aceptarías a tu hijo si fuera gay? ¡Todo puede pasar en @La3EnDiscordia! @RocioSAzuara le da su bendición a dos chicos homosexuales, mañana la repetición a las 12:45 pm por @UnicableOficial ♥️🏳️‍🌈 #LoveIsLove #LoveWins #TodosSomosUnicable #La3raEnDiscordia #FelizMiércoles url",NP
1332,531,Los gays que peor me caen son los que te dan follow en Instagram para que les des follow back y te dejan de seguir cuando lo haces 🤢🤢🤢 pero a mí ya nunca más me ven la cara de estúpida la verdá,NP
3814,3013,"Estamos orgullosos de haber sobrevivido a años del “qué dirán”, de burlas y estereotipos en los medios, de insultos en el púlpito, de ser llamados “maricón”, “desviado”, “enfermo mental”, de creer que nuestra orientación es un pecado o que se puede curar.",NP
6742,1581,Esta noche le ando poniendo el cuerno a @SpotifyMexico y probando @GooglePlayMusic a ver qué tal. No le digan a nadie es solo una noche loca,NA
417,417,"@BeatrizGMuller Como siempre asnos maricas en primera fila, hasta parece que su frustración viene de familia. Y como siempre la señora en buen talante dando lo que a otros les molesta un consejo.",P
3897,3096,"@anabaquedano ^_^ url

Fue una entrevista muy bonita. Gia ese día hablaba de ser una mujer ""transgénera"". Por que le enseñaron que femeninos = ""acaba con a"".

Pues guess what, para todos los que me dicen que soy ""un transgénero"". Fue un FIX total adoptar la ""mala"" palabra.",NP
2524,1723,ALV jajaja 🤣🤣🤣🤣🤣🤣 soy yo pero en travesti url,NP
2541,1740,"La memoria no guarda películas, guarda fotografías.
.
.
.
#like #gay #gayboy #gaylife #instagramers #igers #instagay #lgbt #gayman #gaymx #gaymexico #mexican #mexicanman #photography… url",NP
2124,1323,"@aurelionuno Clase transexual grabada en colegio Hay niñas con pene, la ciencia no puede saber si soy hombreurl=url",NP
471,471,@jportti @Unchicomas13 @laurabozzo jaja que maricon!,P
2789,1988,"Me da un poco de triste a veces, como activistas no logran nada.. 

las feministas radicales trans excluyentes le dedican taaanto tiempo a su exclusión (hacen talleres, conferencias, campañas en redes)

Y pues cada año hay más gente trans en el mundo, viviendo logrades y felices.",NP
1591,790,"""#Miércoles de cine, y el mayate lo sabe""
url yo ni #mayate, ni #cine 😥😒😞😞😞

url #gym… url",NP
6195,1034,"@Queer_asanAlien La naturaleza no se equivoca amiga, no todos tienen click con url que imagen!! Abrazote 🙋🏻‍♂️",NA
5823,662,"🔥 Le cumplí su sueño, cojerme vestida de colegiala, así el mañanero 🔥 url",NA
5193,32,"Un día alguien me dijo, la mujer solo tiene dos hombres, uno que la vuelve loca en la cabeza y otro era el seguro, para ella era el segundo",NA
2267,1466,"¿¡ Qué pedo con #AJAndTheQueen!? Tan cursi, tan Hallmark para maricas, con esos malos de caricatura, con situaciones inverosímiles que se solucionan con show url LA AMO. Qué gran show.",NP
5826,665,"Póster oficial de #Transformers: War for Cybertron Trilogy #EarthRise. 🤖 

Serie anime realizada por #RoosterTeeth.

Disponible en #Netflix.

@NetflixLAT 

#TransformersWFC #TransformersWarForCybertron #TransformersWarForCybertronTrilogy #Cybertron #WarForCybertron url",NA
2671,1870,@brujasdelmar ¿A los cuántos años se dieron cuenta que abolir el género es ser queer? url,NP
39,39,@MaestroDoria Ese nombre suena a transexual jajaja,P
4470,3669,"Obvio, hay que tomar las cosas de quienes vienen. Si hay ataques de mala fe, por ahí no es.

Pero creo que hay muchas personas activistas trans que podrían tener la disposición para dialogar y aprender entre sí. Sin embargo, quien ofende debe escuchar más de lo que quiera hablar. url",NP
4076,3275,"Políticos pro-homofobia con hijos “””””secretamente””””” gay. 

Se de tantos que me da rabia.

Y ahí.. ¿quién está peor? ¿Padre/Madre o hijos?",NP
1109,308,En Shorts México tenemos QUEER SHORTS. Cortometrajes de diversidad sexual url,NP
3527,2726,"@BniceSilva daría la vida por que nadie supiera de Mau y que soy trans, por ejemplo.

La verdad, ya me jodí. También soy bicho de zoologico.",NP
1191,390,@trans_hearts @GGLove4202 @h_trans1 Que lindas chichotas y que lindo clítoris 😋,NP
2317,1516,El club de las lesbianas en el gym que no me dirigen la palabra ... Creo que tienen un interés en mi y no es nada sexual!,NP
6097,936,Haz algo bueno por el país y partele toda su puta madre!🙏 url,NA
6007,846,Osea que si como #sabritones ya soy influencer #Yate #Puto #yamevi,NA
1007,206,"Si aún no tienen sus banderitas para empezar el mes más colorido del año, les traigo estas de escritorio:  💲4️⃣0️⃣ pesito cada una y tengo bi, pan y trans.
Entregas personales en Gdl y envíos por correos de México o dhl. url",NP
652,652,Para conocimiento de pendejos y pendejos El facebook es para homosexuales inexistentes tienen algo que decirme putongo o putonga ven para que te despedaze la madre o hombre no un pendejo sin abstinencia animal genética no guardó silencio me molesto el comentario ven trapa o trapo,P
3603,2802,@linxack @freddier @jesusrca @cvander Hasta la gente bisexual. Sales del clóset y te corren. No culpo a nadie por guardar silencio la verdad.,NP
5667,506,@MaleZentella El encierro me está volviendo loca y la gente anda en la calle como si nada 😭,NA
334,334,@Pierre_C97 @vEdgar45 @pptnlk @MonchePepe @InvictosSomos Si la verdad se ve muy joto ese!!! 🙈🙄🤣,P
3959,3158,Lo más leído de la semana: Ahora es el turno de las url 5 mujeres trans nos platican cómo fue su transición url,NP
877,76,"Pues según url estoy sano y no, lo joto no tiene solucióurl",NP
2719,1918,"@vit0y4 que no le quita, ser transformer seria SÚPER cool.

/ @NoticiasCaracol @Viernes360tv",NP
116,116,"@ayElJuann Jajajajaja puto descarado, borracho y maña influencia 😂 (de nuevo porque lo escribí mal ggggg)",P
1248,447,"MWES -  Un árbitro homosexual detiene un partido de infantiles tras recibir insultos homófobos - Jesús Tomillero,… url",NP
2484,1683,ES : Premiará Page a actriz transexual url,NP
1130,329,"Estoy viendo Peabody &amp; Sherman y la Srta. Grunion es esa misma que en el mundo real no quiere que las parejas homosexuales adopten. No digo que sea lo mismo, solo que da los mismos argumentos y tiene el mismo pinche humor con la ignorancia.",NP
6293,1132,"@Gay_Zombiee @ChumelTorres oye tu pinchi zombie de mierda enfermo cuando twitees cosas decentes y no pornografia, insultame pendejete!",NA
2131,1330,el presidente es homosexual url,NP
3105,2304,"Si es una niña Trans, pero en su estado no hay cambio de género en documentos, y no la dejan usar falda.. Si.
Pasa. url",NP
5782,621,"Tu, loca manía has sido mía solo una vez 🎧",NA
807,6,"""estoy orgulloso de ser gay y lo considero entre los grandes regalos que Dios me ha dado” 
Tim Cook CEO de Apple",NP
3028,2227,"@laurelyeye De paso. Súper gays ya hay: “gold star gays” (que nunca han visto una vulva) y “platinum star” (gold star que nacieron por cesárea)
url

También hay “gold star lesbian” url

“Super trans”? también existe —&gt; truscum url",NP
